 | Salsa20 | 1024 | 128 | 1871738989 | 194986 | 
 | Salsa20 | 5120 | 128 | 1524478 | 220159 | 
 | Salsa20 | 25600 | 128 | 1672532 | 1281706 | 
 | Salsa20 | 128000 | 128 | 5085436 | 4068690 | 
 | Salsa20 | 640000 | 128 | 9264633 | 6460582 | 
 | Salsa20 | 3200000 | 128 | 55236647 | 50786091 | 
 | Salsa20 | 16000000 | 128 | 41648604 | 33094798 | 
 | Salsa20 | 80000000 | 128 | 393838597 | 319629380 | 
 | Salsa20 | 400000000 | 128 | 1304612860 | 892765104 | 
 | Salsa20 | 2000000000 | 128 | 6623960641 | 5030997734 | 
